site_code,deg_lat,deg_long
NH01,-2.19081,-56.7084
NH02,-2.17525,-56.7115
NH03,NA,NA
NH04,-1.84123,-57.07212
NH05,-1.6909,-57.42231
NH06,NA,NA
NH07,NA,NA
NH08,-1.71782,-57.36856
NH09,NA,NA
NH10,-1.99702,-57.03758
NH11,NA,NA
NH12,-2.02386,-56.78235
